,listing_url,last_scraped,host_since,zipcode,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities_cat,amenities_count,minimum_nights,maximum_nights,instant_bookable,availability_365,price,latitude,longitude,years_in_business,revenue,revenue_per_accommodates
686,https://www.airbnb.com/rooms/13436253,2023-03-25,2012-05-22,98117.0,Private room,2,3.5,1.0,2.0,moderate,51,30,360,t,49,90.0,47.70073,-122.36671,11.0,28440.0,14220.0
687,https://www.airbnb.com/rooms/13437692,2023-03-25,2015-04-16,98109.0,Private room,2,1.0,1.0,1.0,moderate,43,2,1125,t,238,111.0,47.6346,-122.35399,8.0,14097.0,7048.5
688,https://www.airbnb.com/rooms/13451352,2023-03-25,2011-06-02,98122.0,Entire home/apt,4,1.0,1.0,1.0,basic,25,30,1124,t,144,90.0,47.61091,-122.31323,12.0,19890.0,4972.5
689,https://www.airbnb.com/rooms/13451764,2023-03-25,2011-06-02,98122.0,Entire home/apt,4,1.0,1.0,1.0,moderate,38,30,1124,t,239,90.0,47.61091,-122.31323,12.0,11340.0,2835.0
690,https://www.airbnb.com/rooms/13452009,2023-03-25,2011-06-02,98122.0,Entire home/apt,6,2.0,2.0,3.0,basic,23,30,1124,t,252,90.0,47.61091,-122.31323,12.0,10170.0,1695.0
691,https://www.airbnb.com/rooms/13468093,2023-03-25,2012-10-18,98112.0,Entire home/apt,1,1.0,1.0,2.0,moderate,57,2,1125,f,0,78.0,47.6392822265625,-122.30625915527344,10.0,28470.0,28470.0
692,https://www.airbnb.com/rooms/13494687,2023-03-25,2016-06-12,98118.0,Entire home/apt,4,1.0,2.0,2.0,moderate,40,30,90,f,0,79.0,47.54715,-122.26855,7.0,28835.0,7208.75
693,https://www.airbnb.com/rooms/13532046,2023-03-25,2010-04-11,98109.0,Entire home/apt,6,2.0,3.0,3.0,moderate,58,2,1125,f,117,295.0,47.63045,-122.34463,13.0,73160.0,12193.333333333334
694,https://www.airbnb.com/rooms/13533117,2023-03-25,2014-12-29,98115.0,Entire home/apt,5,1.0,2.0,3.0,luxury,74,5,92,f,229,112.0,47.68157,-122.28777,8.0,15232.0,3046.4
695,https://www.airbnb.com/rooms/13533362,2023-03-25,2012-07-27,98195.0,Entire home/apt,2,1.0,,1.0,moderate,41,2,1125,f,173,105.0,47.66229,-122.31289,11.0,20160.0,10080.0
696,https://www.airbnb.com/rooms/13548374,2023-03-25,2014-12-05,98138.0,Entire home/apt,5,1.0,1.0,4.0,moderate,67,3,60,f,136,224.0,47.61111,-122.33093,8.0,51296.0,10259.2
697,https://www.airbnb.com/rooms/13573225,2023-03-25,2016-06-17,98144.0,Private room,4,1.5,1.0,1.0,moderate,54,1,28,f,18,71.0,47.58579,-122.31113,7.0,24637.0,6159.25
698,https://www.airbnb.com/rooms/13574491,2023-03-25,2014-05-11,98117.0,Entire home/apt,2,1.0,,1.0,moderate,51,4,1125,f,179,78.0,47.68447,-122.36601,9.0,14508.0,7254.0
699,https://www.airbnb.com/rooms/13606919,2023-03-25,2010-12-11,98102.0,Entire home/apt,4,2.0,2.0,2.0,moderate,39,3,1125,f,280,135.0,47.63989,-122.32348,12.0,11475.0,2868.75
700,https://www.airbnb.com/rooms/13607307,2023-03-25,2015-01-21,98105.0,Private room,2,1.0,1.0,1.0,basic,28,2,1125,t,136,47.0,47.66851,-122.28599,8.0,10763.0,5381.5
701,https://www.airbnb.com/rooms/13622517,2023-03-25,2015-05-11,98107.0,Entire home/apt,3,1.0,1.0,1.0,moderate,40,30,1125,t,258,96.0,47.67536,-122.36017,8.0,10272.0,3424.0
702,https://www.airbnb.com/rooms/13641844,2023-03-25,2016-01-07,98105.0,Private room,2,1.0,1.0,1.0,moderate,39,2,1125,f,364,150.0,47.66854,-122.30535,7.0,150.0,75.0
703,https://www.airbnb.com/rooms/13643570,2023-03-25,2015-12-14,98136.0,Entire home/apt,2,1.0,1.0,1.0,moderate,53,3,120,f,181,70.0,47.54684,-122.38814,7.0,12880.0,6440.0
704,https://www.airbnb.com/rooms/13644229,2023-03-25,2013-03-04,98122.0,Entire home/apt,6,1.0,2.0,2.0,basic,36,30,30,f,364,155.0,47.60353,-122.29656,10.0,155.0,25.833333333333332
705,https://www.airbnb.com/rooms/13654492,2023-03-25,2016-01-07,98105.0,Private room,2,1.0,1.0,1.0,basic,34,2,1125,f,278,110.0,47.66849,-122.30375,7.0,9570.0,4785.0
706,https://www.airbnb.com/rooms/13661449,2023-03-25,2014-03-28,98118.0,Entire home/apt,7,2.0,3.0,4.0,luxury,73,4,1125,f,220,169.0,47.54276,-122.27141,9.0,24505.0,3500.714285714286
707,https://www.airbnb.com/rooms/13684864,2023-03-25,2014-02-20,98144.0,Private room,1,1.0,1.0,1.0,basic,21,30,1125,f,358,170.0,47.57998,-122.29519,9.0,1190.0,1190.0
708,https://www.airbnb.com/rooms/13687977,2023-03-25,2014-07-10,98103.0,Private room,2,1.0,1.0,2.0,basic,35,30,1125,f,0,70.0,47.70055,-122.35029,9.0,25550.0,12775.0
709,https://www.airbnb.com/rooms/13689184,2023-03-25,2012-11-04,98103.0,Entire home/apt,6,1.5,3.0,4.0,basic,35,3,1125,f,29,253.0,47.66542,-122.33834,10.0,85008.0,14168.0
710,https://www.airbnb.com/rooms/13689263,2023-03-25,2014-07-10,98103.0,Private room,2,1.0,1.0,1.0,basic,33,30,60,f,0,46.0,47.70054,-122.35044,9.0,16790.0,8395.0
