,listing_url,last_scraped,host_since,zipcode,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities_cat,amenities_count,minimum_nights,maximum_nights,instant_bookable,availability_365,price,latitude,longitude,years_in_business,revenue,revenue_per_accommodates,0.25_price,0.5_price,0.75_price,outlier,0.25_acc,0.5_acc,0.75_acc,outlier_2,0.25_bathroom,0.5_bathroom,0.75_bathroom,outlier_3,bedrooms_cat,bathrooms_cat,years_in_business_cat,expected_annual_occupency,0.25_revenue,0.5_revenue,0.75_revenue,revenue_cat,0.25_revenue_acc,0.5_revenue_acc,0.75_revenue_acc,revenue_cat_acc,0.25_price_bedcat,0.5_price_bedcat,0.75_price_bedcat,price_cat
10,https://www.airbnb.com/rooms/36100887,2023-03-25,2014-03-25,92102.0,Entire home/apt,4,1.0,1.0,1.0,basic,38,2,100,f,310,300.0,32.72458,-117.12726,9.0,16500.0,4125.0,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 6-10, 1-2 month,7048.0,21060.0,36127.5,25th-50th,2894.583333333333,8824.5,15303.5,25th-50th,85.0,120.0,164.0,>75th
11,https://www.airbnb.com/rooms/52218020,2023-03-25,2021-09-12,92101.0,Entire home/apt,4,1.0,1.0,1.0,basic,14,1,1125,f,356,300.0,32.71161,-117.16265,2.0,2700.0,675.0,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 1-5, 0-10,7048.0,21060.0,36127.5,<25th,2894.583333333333,8824.5,15303.5,<25th,85.0,120.0,164.0,>75th
12,https://www.airbnb.com/rooms/635420645190212712,2023-03-25,2022-05-26,92115.0,Entire home/apt,4,1.0,1.0,1.0,basic,11,1,365,f,297,300.0,32.759212,-117.066528,1.0,20400.0,5100.0,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 1-5, 2-3 month,7048.0,21060.0,36127.5,25th-50th,2894.583333333333,8824.5,15303.5,25th-50th,85.0,120.0,164.0,>75th
13,https://www.airbnb.com/rooms/717954471984575654,2023-03-25,2022-08-20,92101.0,Entire home/apt,4,1.0,1.0,1.0,moderate,69,4,365,f,364,300.0,32.71936,-117.156,1.0,300.0,75.0,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 1-5, 0-10,7048.0,21060.0,36127.5,<25th,2894.583333333333,8824.5,15303.5,<25th,85.0,120.0,164.0,>75th
14,https://www.airbnb.com/rooms/33932451,2023-03-25,2012-06-14,92134.0,Entire home/apt,4,1.0,1.0,2.0,moderate,50,2,360,f,164,299.0,32.71523,-117.13446,11.0,60099.0,15024.75,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1,>10, 6-7 month,7048.0,21060.0,36127.5,>75th,2894.583333333333,8824.5,15303.5,50th-75th,85.0,120.0,164.0,>75th
15,https://www.airbnb.com/rooms/667449936921231006,2023-03-25,2019-09-07,92109.0,Entire home/apt,4,1.0,1.0,2.0,basic,19,1,365,t,348,299.0,32.7838932,-117.253236,4.0,5083.0,1270.75,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 1-5, 10 days- 1 month,7048.0,21060.0,36127.5,<25th,2894.583333333333,8824.5,15303.5,<25th,85.0,120.0,164.0,>75th
16,https://www.airbnb.com/rooms/9369925,2023-03-25,2015-07-02,92109.0,Entire home/apt,4,1.0,1.0,2.0,moderate,46,4,365,t,286,297.0,32.78942,-117.24038,8.0,23463.0,5865.75,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 6-10, 2-3 month,7048.0,21060.0,36127.5,50th-75th,2894.583333333333,8824.5,15303.5,25th-50th,85.0,120.0,164.0,>75th
17,https://www.airbnb.com/rooms/842960763357577293,2023-03-25,2018-07-10,92109.0,Entire home/apt,4,1.0,1.0,2.0,basic,35,2,365,t,362,297.0,32.76479673,-117.2514289,5.0,891.0,222.75,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 1-5, 0-10,7048.0,21060.0,36127.5,<25th,2894.583333333333,8824.5,15303.5,<25th,85.0,120.0,164.0,>75th
18,https://www.airbnb.com/rooms/14809720,2023-03-25,2015-11-10,92122.0,Entire home/apt,4,1.0,1.0,3.0,moderate,51,2,365,t,365,295.0,32.86430762,-117.2236839,7.0,0.0,0.0,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 6-10,completely booked,7048.0,21060.0,36127.5,<25th,2894.583333333333,8824.5,15303.5,<25th,85.0,120.0,164.0,>75th
19,https://www.airbnb.com/rooms/45409025,2023-03-25,2016-05-07,92109.0,Entire home/apt,4,1.0,1.0,1.0,basic,30,3,1125,f,0,295.0,32.80283,-117.2324,7.0,107675.0,26918.75,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 6-10,completely booked,7048.0,21060.0,36127.5,>75th,2894.583333333333,8824.5,15303.5,>75th,85.0,120.0,164.0,>75th
